Inverse Logarithm Table for GF(2^10)
polynomial    | power 
0011010010 (decimal: 210) | alpha^557 
0110100100 (decimal: 420) | alpha^558 
1101001000 (decimal: 840) | alpha^559 
1010011001 (decimal: 665) | alpha^560 
0100111011 (decimal: 315) | alpha^561 
1001110110 (decimal: 630) | alpha^562 
0011100101 (decimal: 229) | alpha^563 
0111001010 (decimal: 458) | alpha^564 
1110010100 (decimal: 916) | alpha^565 
1100100001 (decimal: 801) | alpha^566 
1001001011 (decimal: 587) | alpha^567 
0010011111 (decimal: 159) | alpha^568 
0100111110 (decimal: 318) | alpha^569 
1001111100 (decimal: 636) | alpha^570 
0011110001 (decimal: 241) | alpha^571 
0111100010 (decimal: 482) | alpha^572 
1111000100 (decimal: 964) | alpha^573 
1110000001 (decimal: 897) | alpha^574 
1100001011 (decimal: 779) | alpha^575 
1000011111 (decimal: 543) | alpha^576 
0000110111 (decimal: 55) | alpha^577 
0001101110 (decimal: 110) | alpha^578 
0011011100 (decimal: 220) | alpha^579 
0110111000 (decimal: 440) | alpha^580 
1101110000 (decimal: 880) | alpha^581 
1011101001 (decimal: 745) | alpha^582 
0111011011 (decimal: 475) | alpha^583 
1110110110 (decimal: 950) | alpha^584 
1101100101 (decimal: 869) | alpha^585 
1011000011 (decimal: 707) | alpha^586 
0110001111 (decimal: 399) | alpha^587 
1100011110 (decimal: 798) | alpha^588 
1000110101 (decimal: 565) | alpha^589 
0001100011 (decimal: 99) | alpha^590 
0011000110 (decimal: 198) | alpha^591 
0110001100 (decimal: 396) | alpha^592 
1100011000 (decimal: 792) | alpha^593 
1000111001 (decimal: 569) | alpha^594 
0001111011 (decimal: 123) | alpha^595 
0011110110 (decimal: 246) | alpha^596 
0111101100 (decimal: 492) | alpha^597 
1111011000 (decimal: 984) | alpha^598 
1110111001 (decimal: 953) | alpha^599 
1101111011 (decimal: 891) | alpha^600 
1011111111 (decimal: 767) | alpha^601 
0111110111 (decimal: 503) | alpha^602 
1111101110 (decimal: 1006) | alpha^603 
1111010101 (decimal: 981) | alpha^604 
1110100011 (decimal: 931) | alpha^605 
1101001111 (decimal: 847) | alpha^606 
1010010111 (decimal: 663) | alpha^607 
0100100111 (decimal: 295) | alpha^608 
1001001110 (decimal: 590) | alpha^609 
0010010101 (decimal: 149) | alpha^610 
