Logarithm Table for GF(2^10)
power | polynomial 
alpha^239  |  1100011011 (decimal: 795)
alpha^240  |  1000111111 (decimal: 575)
alpha^241  |  0001110111 (decimal: 119)
alpha^242  |  0011101110 (decimal: 238)
alpha^243  |  0111011100 (decimal: 476)
alpha^244  |  1110111000 (decimal: 952)
alpha^245  |  1101111001 (decimal: 889)
alpha^246  |  1011111011 (decimal: 763)
alpha^247  |  0111111111 (decimal: 511)
alpha^248  |  1111111110 (decimal: 1022)
alpha^249  |  1111110101 (decimal: 1013)
alpha^250  |  1111100011 (decimal: 995)
alpha^251  |  1111001111 (decimal: 975)
alpha^252  |  1110010111 (decimal: 919)
alpha^253  |  1100100111 (decimal: 807)
alpha^254  |  1001000111 (decimal: 583)
alpha^255  |  0010000111 (decimal: 135)
alpha^256  |  0100001110 (decimal: 270)
alpha^257  |  1000011100 (decimal: 540)
alpha^258  |  0000110001 (decimal: 49)
alpha^259  |  0001100010 (decimal: 98)
alpha^260  |  0011000100 (decimal: 196)
alpha^261  |  0110001000 (decimal: 392)
alpha^262  |  1100010000 (decimal: 784)
alpha^263  |  1000101001 (decimal: 553)
alpha^264  |  0001011011 (decimal: 91)
alpha^265  |  0010110110 (decimal: 182)
alpha^266  |  0101101100 (decimal: 364)
alpha^267  |  1011011000 (decimal: 728)
alpha^268  |  0110111001 (decimal: 441)
alpha^269  |  1101110010 (decimal: 882)
alpha^270  |  1011101101 (decimal: 749)
alpha^271  |  0111010011 (decimal: 467)
alpha^272  |  1110100110 (decimal: 934)
alpha^273  |  1101000101 (decimal: 837)
alpha^274  |  1010000011 (decimal: 643)
alpha^275  |  0100001111 (decimal: 271)
alpha^276  |  1000011110 (decimal: 542)
alpha^277  |  0000110101 (decimal: 53)
alpha^278  |  0001101010 (decimal: 106)
alpha^279  |  0011010100 (decimal: 212)
alpha^280  |  0110101000 (decimal: 424)
alpha^281  |  1101010000 (decimal: 848)
alpha^282  |  1010101001 (decimal: 681)
alpha^283  |  0101011011 (decimal: 347)
alpha^284  |  1010110110 (decimal: 694)
alpha^285  |  0101100101 (decimal: 357)
alpha^286  |  1011001010 (decimal: 714)
alpha^287  |  0110011101 (decimal: 413)
alpha^288  |  1100111010 (decimal: 826)
alpha^289  |  1001111101 (decimal: 637)
alpha^290  |  0011110011 (decimal: 243)
alpha^291  |  0111100110 (decimal: 486)
alpha^292  |  1111001100 (decimal: 972)
alpha^293  |  1110010001 (decimal: 913)
alpha^294  |  1100101011 (decimal: 811)
alpha^295  |  1001011111 (decimal: 607)
alpha^296  |  0010110111 (decimal: 183)
alpha^297  |  0101101110 (decimal: 366)
alpha^298  |  1011011100 (decimal: 732)
alpha^299  |  0110110001 (decimal: 433)
alpha^300  |  1101100010 (decimal: 866)
alpha^301  |  1011001101 (decimal: 717)
alpha^302  |  0110010011 (decimal: 403)
alpha^303  |  1100100110 (decimal: 806)
alpha^304  |  1001000101 (decimal: 581)
alpha^305  |  0010000011 (decimal: 131)
alpha^306  |  0100000110 (decimal: 262)
alpha^307  |  1000001100 (decimal: 524)
alpha^308  |  0000010001 (decimal: 17)
alpha^309  |  0000100010 (decimal: 34)
alpha^310  |  0001000100 (decimal: 68)
alpha^311  |  0010001000 (decimal: 136)
alpha^312  |  0100010000 (decimal: 272)
alpha^313  |  1000100000 (decimal: 544)
alpha^314  |  0001001001 (decimal: 73)
alpha^315  |  0010010010 (decimal: 146)
alpha^316  |  0100100100 (decimal: 292)
alpha^317  |  1001001000 (decimal: 584)
alpha^318  |  0010011001 (decimal: 153)
alpha^319  |  0100110010 (decimal: 306)
alpha^320  |  1001100100 (decimal: 612)
alpha^321  |  0011000001 (decimal: 193)
alpha^322  |  0110000010 (decimal: 386)
alpha^323  |  1100000100 (decimal: 772)
alpha^324  |  1000000001 (decimal: 513)
alpha^325  |  0000001011 (decimal: 11)
alpha^326  |  0000010110 (decimal: 22)
alpha^327  |  0000101100 (decimal: 44)
alpha^328  |  0001011000 (decimal: 88)
alpha^329  |  0010110000 (decimal: 176)
alpha^330  |  0101100000 (decimal: 352)
alpha^331  |  1011000000 (decimal: 704)
alpha^332  |  0110001001 (decimal: 393)
alpha^333  |  1100010010 (decimal: 786)
alpha^334  |  1000101101 (decimal: 557)
alpha^335  |  0001010011 (decimal: 83)
alpha^336  |  0010100110 (decimal: 166)
alpha^337  |  0101001100 (decimal: 332)
alpha^338  |  1010011000 (decimal: 664)
alpha^339  |  0100111001 (decimal: 313)
alpha^340  |  1001110010 (decimal: 626)
alpha^341  |  0011101101 (decimal: 237)
alpha^342  |  0111011010 (decimal: 474)
alpha^343  |  1110110100 (decimal: 948)
alpha^344  |  1101100001 (decimal: 865)
alpha^345  |  1011001011 (decimal: 715)
alpha^346  |  0110011111 (decimal: 415)
alpha^347  |  1100111110 (decimal: 830)
alpha^348  |  1001110101 (decimal: 629)
alpha^349  |  0011100011 (decimal: 227)
alpha^350  |  0111000110 (decimal: 454)
alpha^351  |  1110001100 (decimal: 908)
alpha^352  |  1100010001 (decimal: 785)
alpha^353  |  1000101011 (decimal: 555)
alpha^354  |  0001011111 (decimal: 95)
alpha^355  |  0010111110 (decimal: 190)
alpha^356  |  0101111100 (decimal: 380)
alpha^357  |  1011111000 (decimal: 760)
alpha^358  |  0111111001 (decimal: 505)
alpha^359  |  1111110010 (decimal: 1010)
alpha^360  |  1111101101 (decimal: 1005)
alpha^361  |  1111010011 (decimal: 979)
alpha^362  |  1110101111 (decimal: 943)
alpha^363  |  1101010111 (decimal: 855)
alpha^364  |  1010100111 (decimal: 679)
alpha^365  |  0101000111 (decimal: 327)
alpha^366  |  1010001110 (decimal: 654)
alpha^367  |  0100010101 (decimal: 277)
alpha^368  |  1000101010 (decimal: 554)
alpha^369  |  0001011101 (decimal: 93)
alpha^370  |  0010111010 (decimal: 186)
alpha^371  |  0101110100 (decimal: 372)
alpha^372  |  1011101000 (decimal: 744)
alpha^373  |  0111011001 (decimal: 473)
alpha^374  |  1110110010 (decimal: 946)
alpha^375  |  1101101101 (decimal: 877)
alpha^376  |  1011010011 (decimal: 723)
alpha^377  |  0110101111 (decimal: 431)
alpha^378  |  1101011110 (decimal: 862)
alpha^379  |  1010110101 (decimal: 693)
alpha^380  |  0101100011 (decimal: 355)
alpha^381  |  1011000110 (decimal: 710)
alpha^382  |  0110000101 (decimal: 389)
alpha^383  |  1100001010 (decimal: 778)
alpha^384  |  1000011101 (decimal: 541)
alpha^385  |  0000110011 (decimal: 51)
alpha^386  |  0001100110 (decimal: 102)
alpha^387  |  0011001100 (decimal: 204)
alpha^388  |  0110011000 (decimal: 408)
alpha^389  |  1100110000 (decimal: 816)
alpha^390  |  1001101001 (decimal: 617)
alpha^391  |  0011011011 (decimal: 219)
alpha^392  |  0110110110 (decimal: 438)
alpha^393  |  1101101100 (decimal: 876)
alpha^394  |  1011010001 (decimal: 721)
alpha^395  |  0110101011 (decimal: 427)
alpha^396  |  1101010110 (decimal: 854)
alpha^397  |  1010100101 (decimal: 677)
alpha^398  |  0101000011 (decimal: 323)
alpha^399  |  1010000110 (decimal: 646)
alpha^400  |  0100000101 (decimal: 261)
alpha^401  |  1000001010 (decimal: 522)
alpha^402  |  0000011101 (decimal: 29)
alpha^403  |  0000111010 (decimal: 58)
alpha^404  |  0001110100 (decimal: 116)
alpha^405  |  0011101000 (decimal: 232)
alpha^406  |  0111010000 (decimal: 464)
alpha^407  |  1110100000 (decimal: 928)
alpha^408  |  1101001001 (decimal: 841)
alpha^409  |  1010011011 (decimal: 667)
alpha^410  |  0100111111 (decimal: 319)
alpha^411  |  1001111110 (decimal: 638)
alpha^412  |  0011110101 (decimal: 245)
alpha^413  |  0111101010 (decimal: 490)
alpha^414  |  1111010100 (decimal: 980)
alpha^415  |  1110100001 (decimal: 929)
alpha^416  |  1101001011 (decimal: 843)
alpha^417  |  1010011111 (decimal: 671)
alpha^418  |  0100110111 (decimal: 311)
alpha^419  |  1001101110 (decimal: 622)
alpha^420  |  0011010101 (decimal: 213)
alpha^421  |  0110101010 (decimal: 426)
alpha^422  |  1101010100 (decimal: 852)
alpha^423  |  1010100001 (decimal: 673)
alpha^424  |  0101001011 (decimal: 331)
alpha^425  |  1010010110 (decimal: 662)
alpha^426  |  0100100101 (decimal: 293)
alpha^427  |  1001001010 (decimal: 586)
alpha^428  |  0010011101 (decimal: 157)
alpha^429  |  0100111010 (decimal: 314)
alpha^430  |  1001110100 (decimal: 628)
alpha^431  |  0011100001 (decimal: 225)
alpha^432  |  0111000010 (decimal: 450)
alpha^433  |  1110000100 (decimal: 900)
alpha^434  |  1100000001 (decimal: 769)
alpha^435  |  1000001011 (decimal: 523)
alpha^436  |  0000011111 (decimal: 31)
alpha^437  |  0000111110 (decimal: 62)
alpha^438  |  0001111100 (decimal: 124)
alpha^439  |  0011111000 (decimal: 248)
alpha^440  |  0111110000 (decimal: 496)
alpha^441  |  1111100000 (decimal: 992)
alpha^442  |  1111001001 (decimal: 969)
alpha^443  |  1110011011 (decimal: 923)
alpha^444  |  1100111111 (decimal: 831)
alpha^445  |  1001110111 (decimal: 631)
alpha^446  |  0011100111 (decimal: 231)
alpha^447  |  0111001110 (decimal: 462)
alpha^448  |  1110011100 (decimal: 924)
alpha^449  |  1100110001 (decimal: 817)
alpha^450  |  1001101011 (decimal: 619)
alpha^451  |  0011011111 (decimal: 223)
alpha^452  |  0110111110 (decimal: 446)
alpha^453  |  1101111100 (decimal: 892)
alpha^454  |  1011110001 (decimal: 753)
alpha^455  |  0111101011 (decimal: 491)
alpha^456  |  1111010110 (decimal: 982)
alpha^457  |  1110100101 (decimal: 933)
alpha^458  |  1101000011 (decimal: 835)
alpha^459  |  1010001111 (decimal: 655)
alpha^460  |  0100010111 (decimal: 279)
alpha^461  |  1000101110 (decimal: 558)
alpha^462  |  0001010101 (decimal: 85)
alpha^463  |  0010101010 (decimal: 170)
alpha^464  |  0101010100 (decimal: 340)
alpha^465  |  1010101000 (decimal: 680)
alpha^466  |  0101011001 (decimal: 345)
alpha^467  |  1010110010 (decimal: 690)
alpha^468  |  0101101101 (decimal: 365)
alpha^469  |  1011011010 (decimal: 730)
alpha^470  |  0110111101 (decimal: 445)
alpha^471  |  1101111010 (decimal: 890)
alpha^472  |  1011111101 (decimal: 765)
alpha^473  |  0111110011 (decimal: 499)
alpha^474  |  1111100110 (decimal: 998)
alpha^475  |  1111000101 (decimal: 965)
alpha^476  |  1110000011 (decimal: 899)
alpha^477  |  1100001111 (decimal: 783)
alpha^478  |  1000010111 (decimal: 535)
alpha^479  |  0000100111 (decimal: 39)
alpha^480  |  0001001110 (decimal: 78)
alpha^481  |  0010011100 (decimal: 156)
alpha^482  |  0100111000 (decimal: 312)
alpha^483  |  1001110000 (decimal: 624)
alpha^484  |  0011101001 (decimal: 233)
alpha^485  |  0111010010 (decimal: 466)
alpha^486  |  1110100100 (decimal: 932)
alpha^487  |  1101000001 (decimal: 833)
alpha^488  |  1010001011 (decimal: 651)
alpha^489  |  0100011111 (decimal: 287)
alpha^490  |  1000111110 (decimal: 574)
alpha^491  |  0001110101 (decimal: 117)
alpha^492  |  0011101010 (decimal: 234)
alpha^493  |  0111010100 (decimal: 468)
alpha^494  |  1110101000 (decimal: 936)
alpha^495  |  1101011001 (decimal: 857)
